Subject,Age,MS-Year,Sex,Session,Time,Sutures 1,Task,Score1,Score2
4,23,1,1,4,17:30,6,Suturing,22,24
7,25,3,1,4,12:10,6,Suturing,29,28
8,22,1,1,4,11:55,6,Suturing,28,29
10,24,2,1,4,18:35,5.5,Suturing,14,19
11,22,1,1,4,20:00,5.5,Suturing,20,22
12,23,1,1,4,19:45,6,Suturing,20,22
13,22,1,1,4,20:00,3,Suturing,17,18
19,23,1,2,4,12:10,6,Suturing,25,24
21,22,1,2,4,20:00,5.5,Suturing,24,23
22,26,2,2,4,19:55,6,Suturing,24,24
24,25,3,2,4,19:55,5,Suturing,23,22
26,22,1,2,4,14:25,6,Suturing,25,20
1,22,1,1,5,20:00,2.5,Suturing,15,17
2,23,1,1,5,19:10,6,Suturing,20,21
3,23,1,1,5,18:10,6,Suturing,23,23
4,23,1,1,5,16:05,6,Suturing,22,25
7,25,3,1,5,17:10,6,Suturing,23,27
8,22,1,1,5,18:05,6,Suturing,27,28
10,24,2,1,5,14:10,6,Suturing,15,21
11,22,1,1,5,19:00,6,Suturing,23,20
12,23,1,1,5,20:00,5,Suturing,24,21
13,22,1,1,5,20:00,3,Suturing,19,17
19,23,1,2,5,12:55,6,Suturing,27,27
21,22,1,2,5,18:35,6,Suturing,25,22
22,26,2,2,5,19:20,6,Suturing,26,20
24,25,3,2,5,19:40,6,Suturing,23,20
26,22,1,2,5,12:35,6,Suturing,27,27
