Score,ID,Sutur,Scorer,Time,Session,Sex,Age,PersBase,PersSut,SuturFinal,SutFinalAdjusted,SutFinalLog,Time1,Tim1Sqrt,Time2,Time2Sqrt,TaskName
22,24,6,1,19:50,2,Female,25,0.009001595,0.007136204,-0.001865391,0.0047688,-5.345660661,1190,34.49637662,198.3333333,14.08308678,Suturing
24,26,6,1,18:05,2,Female,22,0.00480079,0.00541403,0.000613241,0.007247431,-4.92710816,1085,32.93933818,180.8333333,13.4474285,Suturing
13,1,1.5,2,20:00,2,Male,22,0.008652118,0.009510659,0.00085854,0.007492731,-4.893821939,1200,34.64101615,800,28.28427125,Suturing
19,2,3,2,20:00,2,Male,23,0.012602266,0.007762063,-0.004840203,0.001793988,-6.323314288,1200,34.64101615,400,20,Suturing
22,3,4.5,2,20:00,2,Male,23,0.006118958,NA,NA,NA,NA,1200,34.64101615,266.6666667,16.32993162,Suturing
17,4,2.5,2,20:00,2,Male,23,0.006194256,0.006253776,5.95E-05,0.006693711,-5.006586814,1200,34.64101615,480,21.9089023,Suturing
25,7,5.5,2,16:25,2,Male,25,0.004680264,0.004675785,-4.48E-06,0.006629711,-5.016194014,985,31.38470965,179.0909091,13.38248516,Suturing
20,8,4,2,20:00,2,Male,22,0.008557117,0.006458208,-0.002098909,0.004535281,-5.39586814,1200,34.64101615,300,17.32050808,Suturing
14,10,2.5,2,20:00,2,Male,24,0.006689656,0.007451626,0.00076197,0.007396161,-4.906794225,1200,34.64101615,480,21.9089023,Suturing
21,11,4,2,20:00,2,Male,22,0.008027844,0.006669412,-0.001358432,0.005275758,-5.244632841,1200,34.64101615,300,17.32050808,Suturing
16,12,2,2,20:00,2,Male,23,0.006268308,0.00684951,0.000581202,0.007215393,-4.931538665,1200,34.64101615,600,24.49489743,Suturing
15,13,2,2,20:00,2,Male,22,0.006099068,0.006327294,0.000228226,0.006862416,-4.981695669,1200,34.64101615,600,24.49489743,Suturing
24,19,6,2,17:50,2,Female,23,0.006964775,0.006350764,-0.000614011,0.006020179,-5.112638205,1070,32.71085447,178.3333333,13.35415042,Suturing
19,21,2.5,2,20:00,2,Female,22,0.00950609,0.008347064,-0.001159026,0.005475164,-5.207533018,1200,34.64101615,480,21.9089023,Suturing
22,22,6,2,19:55,2,Female,26,0.006569979,0.009510327,0.002940349,0.009574539,-4.648647875,1195,34.56877203,199.1666667,14.11264209,Suturing
22,24,6,2,19:50,2,Female,25,0.009001595,0.007136204,-0.001865391,0.0047688,-5.345660661,1190,34.49637662,198.3333333,14.08308678,Suturing
25,26,6,2,18:05,2,Female,22,0.00480079,0.00541403,0.000613241,0.007247431,-4.92710816,1085,32.93933818,180.8333333,13.4474285,Suturing
16,1,2.5,1,20:00,3,Male,22,0.007832819,0.008018788,0.000185969,0.00682016,-4.987872378,1200,34.64101615,480,21.9089023,Suturing
16,2,1.5,1,20:00,3,Male,23,0.007284234,0.007556647,0.000272413,0.006906603,-4.975277324,1200,34.64101615,800,28.28427125,Suturing
25,3,6,1,15:05,3,Male,23,0.006742984,0.007919557,0.001176573,0.007810763,-4.852252616,905,30.08321791,150.8333333,12.28142228,Suturing
19,4,5,1,20:00,3,Male,23,0.007885061,0.006595153,-0.001289909,0.005344282,-5.23172808,1200,34.64101615,240,15.49193338,Suturing
27,7,6,1,16:20,3,Male,25,0.005733069,0.021923313,0.016190243,0.022824434,-3.779923655,980,31.30495168,163.3333333,12.78019301,Suturing
22,8,5,1,20:00,3,Male,22,0.00772889,0.006857432,-0.000871458,0.005762732,-5.156343588,1200,34.64101615,240,15.49193338,Suturing
13,10,5.5,1,20:00,3,Male,24,0.006883706,0.007558624,0.000674917,0.007309108,-4.918634054,1200,34.64101615,218.1818182,14.77097892,Suturing
18,11,6,1,19:59,3,Male,22,0.009000026,0.010632343,0.001632317,0.008266508,-4.795543136,1199,34.62657939,199.8333333,14.13624184,Suturing
18,12,3.5,1,20:00,3,Male,23,0.006280287,0.008620974,0.002340688,0.008974878,-4.713325913,1200,34.64101615,342.8571429,18.516402,Suturing
19,13,3.5,1,20:00,3,Male,22,0.005062228,0.004679217,-0.000383011,0.006251179,-5.07498515,1200,34.64101615,342.8571429,18.516402,Suturing
23,19,6,1,14:30,3,Female,23,0.007526014,0.00665644,-0.000869574,0.005764616,-5.156016661,870,29.49576241,145,12.04159458,Suturing
18,21,4,1,20:00,3,Female,22,0.008584695,0.010541592,0.001956897,0.008591087,-4.757029991,1200,34.64101615,300,17.32050808,Suturing
23,22,6,1,19:15,3,Female,26,0.006974816,0.008093807,0.001118991,0.007753181,-4.859652066,1155,33.98529094,192.5,13.87443693,Suturing
24,24,6,1,18:10,3,Female,25,0.00697524,0.008502087,0.001526848,0.008161038,-4.808383887,1090,33.01514804,181.6666667,13.47837775,Suturing
23,26,6,1,19:45,3,Female,22,0.005298562,0.005811156,0.000512593,0.007146784,-4.941092848,1185,34.42382896,197.5,14.05346932,Suturing
17,1,2.5,2,20:00,3,Male,22,0.007832819,0.008018788,0.000185969,0.00682016,-4.987872378,1200,34.64101615,480,21.9089023,Suturing
14,2,1.5,2,20:00,3,Male,23,0.007284234,0.007556647,0.000272413,0.006906603,-4.975277324,1200,34.64101615,800,28.28427125,Suturing
23,3,6,2,15:05,3,Male,23,0.006742984,0.007919557,0.001176573,0.007810763,-4.852252616,905,30.08321791,150.8333333,12.28142228,Suturing
22,4,5,2,20:00,3,Male,23,0.007885061,0.006595153,-0.001289909,0.005344282,-5.23172808,1200,34.64101615,240,15.49193338,Suturing
24,7,6,2,16:20,3,Male,25,0.005733069,0.021923313,0.016190243,0.022824434,-3.779923655,980,31.30495168,163.3333333,12.78019301,Suturing
26,8,5,2,20:00,3,Male,22,0.00772889,0.006857432,-0.000871458,0.005762732,-5.156343588,1200,34.64101615,240,15.49193338,Suturing
18,10,5.5,2,20:00,3,Male,24,0.006883706,0.007558624,0.000674917,0.007309108,-4.918634054,1200,34.64101615,218.1818182,14.77097892,Suturing
23,11,6,2,19:59,3,Male,22,0.009000026,0.010632343,0.001632317,0.008266508,-4.795543136,1199,34.62657939,199.8333333,14.13624184,Suturing
