"Score","ID","Sutur","Scorer","Time","Session","Sex","Age","PersBase","PersSut","SuturFinal","SutFinalAdjusted","SutFinalLog","SuturQuality","SuturQuantity"
16,19,2,2,"20:00",1,"Female",23,NA,NA,NA,NA,NA,8,10
17,21,1.5,2,"20:00",1,"Female",22,0.00618751978733782,0.0071207222058969,0.000933202418559084,0.106567392927871,-2.23897769651974,11.3333333333333,13.3333333333333
12,22,3,2,"20:00",1,"Female",26,0.00762183358702741,0.011385123200983,0.00376328961395559,0.109397480123267,-2.21276742286769,4,6.66666666666667
20,24,6,2,"19:15",1,"Female",25,0.00880881700743211,0.00626996027125724,-0.00253885673617487,0.103095333773137,-2.27210114821588,3.33333333333333,3.20833333333333
15,26,3.5,2,"20:00",1,"Female",22,0.0070293657315276,0.0066623533756883,-0.000367012355839296,0.105267178153473,-2.25125360687782,4.28571428571429,5.71428571428571
15,1,1.5,1,"20:00",2,"Male",22,0.00865211812952418,0.0095106585375058,0.000858540407981617,0.106492730917293,-2.2396785504598,10,13.3333333333333
16,2,3,1,"20:00",2,"Male",23,0.0126022660033297,0.00776206334471474,-0.00484020265861492,0.100793987850697,-2.29467656946199,5.33333333333333,6.66666666666667
20,3,4.5,1,"20:00",2,"Male",23,0.00611895778022799,NA,NA,NA,NA,4.44444444444444,4.44444444444444
18,4,2.5,1,"20:00",2,"Male",23,0.0061942555633028,0.00625377629701794,5.95207337151403e-05,0.105693711243027,-2.24720988415759,7.2,8
25,7,5.5,1,"16:25",2,"Male",25,0.00468026442953054,0.00467578526477115,-4.47916475939357e-06,0.105629711344552,-2.24781558985408,4.54545454545455,2.98484848484848
21,8,4,1,"20:00",2,"Male",22,0.00855711678087074,0.00645820770214893,-0.00209890907872181,0.10353528143059,-2.26784284097691,5.25,5
12,10,2.5,1,"20:00",2,"Male",24,0.00668965572082166,0.00745162600322614,0.000761970282404482,0.106396160791716,-2.24058578551021,4.8,8
17,11,4,1,"20:00",2,"Male",22,0.00802784441788201,0.00666941229216748,-0.00135843212571452,0.104275758383597,-2.26071636600688,4.25,5
15,12,2,1,"20:00",2,"Male",23,0.00626830778965419,0.0068495099442372,0.000581202154583005,0.106215392663895,-2.24228624033914,7.5,10
16,13,2,1,"20:00",2,"Male",22,0.00609906837794052,0.00632729416649859,0.000228225788558077,0.10586241629787,-2.2456149874031,8,10
22,19,6,1,"17:50",2,"Female",23,0.00696477520775611,0.0063507641866729,-0.000614011021083215,0.105020179488229,-2.25360276168772,3.66666666666667,2.97222222222222
17,21,2.5,1,"20:00",2,"Female",22,0.00950609028924422,0.00834706395186241,-0.00115902633738181,0.10447516417193,-2.25880589925021,6.8,8
23,22,6,1,"19:55",2,"Female",26,0.00656997883197558,0.00951032747860542,0.00294034864662983,0.108574539155942,-2.22031834504697,3.83333333333333,3.31944444444444
22,24,6,1,"19:50",2,"Female",25,0.00900159465723241,0.00713620375009884,-0.00186539090713357,0.103768799602178,-2.26558993530139,3.66666666666667,3.30555555555556
24,26,6,1,"18:05",2,"Female",22,0.00480078955497905,0.0054140304660829,0.000613240911103844,0.106247431420416,-2.2419846463365,4,3.01388888888889
13,1,1.5,2,"20:00",2,"Male",22,0.00865211812952418,0.0095106585375058,0.000858540407981617,0.106492730917293,-2.2396785504598,8.66666666666667,13.3333333333333
19,2,3,2,"20:00",2,"Male",23,0.0126022660033297,0.00776206334471474,-0.00484020265861492,0.100793987850697,-2.29467656946199,6.33333333333333,6.66666666666667
22,3,4.5,2,"20:00",2,"Male",23,0.00611895778022799,NA,NA,NA,NA,4.88888888888889,4.44444444444444
17,4,2.5,2,"20:00",2,"Male",23,0.0061942555633028,0.00625377629701794,5.95207337151403e-05,0.105693711243027,-2.24720988415759,6.8,8
25,7,5.5,2,"16:25",2,"Male",25,0.00468026442953054,0.00467578526477115,-4.47916475939357e-06,0.105629711344552,-2.24781558985408,4.54545454545455,2.98484848484848
20,8,4,2,"20:00",2,"Male",22,0.00855711678087074,0.00645820770214893,-0.00209890907872181,0.10353528143059,-2.26784284097691,5,5
14,10,2.5,2,"20:00",2,"Male",24,0.00668965572082166,0.00745162600322614,0.000761970282404482,0.106396160791716,-2.24058578551021,5.6,8
21,11,4,2,"20:00",2,"Male",22,0.00802784441788201,0.00666941229216748,-0.00135843212571452,0.104275758383597,-2.26071636600688,5.25,5
16,12,2,2,"20:00",2,"Male",23,0.00626830778965419,0.0068495099442372,0.000581202154583005,0.106215392663895,-2.24228624033914,8,10
15,13,2,2,"20:00",2,"Male",22,0.00609906837794052,0.00632729416649859,0.000228225788558077,0.10586241629787,-2.2456149874031,7.5,10
24,19,6,2,"17:50",2,"Female",23,0.00696477520775611,0.0063507641866729,-0.000614011021083215,0.105020179488229,-2.25360276168772,4,2.97222222222222
19,21,2.5,2,"20:00",2,"Female",22,0.00950609028924422,0.00834706395186241,-0.00115902633738181,0.10447516417193,-2.25880589925021,7.6,8
22,22,6,2,"19:55",2,"Female",26,0.00656997883197558,0.00951032747860542,0.00294034864662983,0.108574539155942,-2.22031834504697,3.66666666666667,3.31944444444444
22,24,6,2,"19:50",2,"Female",25,0.00900159465723241,0.00713620375009884,-0.00186539090713357,0.103768799602178,-2.26558993530139,3.66666666666667,3.30555555555556
25,26,6,2,"18:05",2,"Female",22,0.00480078955497905,0.0054140304660829,0.000613240911103844,0.106247431420416,-2.2419846463365,4.16666666666667,3.01388888888889
16,1,2.5,1,"20:00",3,"Male",22,0.00783281864654515,0.00801878792278548,0.000185969276240337,0.105820159785552,-2.24601423153231,6.4,8
16,2,1.5,1,"20:00",3,"Male",23,0.00728423397680454,0.00755664677448097,0.000272412797676434,0.105906603306988,-2.24519767414508,10.6666666666667,13.3333333333333
25,3,6,1,"15:05",3,"Male",23,0.00674298404117077,0.00791955660049745,0.00117657255932668,0.106810763068638,-2.23669657973754,4.16666666666667,2.51388888888889
19,4,5,1,"20:00",3,"Male",23,0.00788506135612793,0.00659515281584119,-0.00128990854028674,0.104344281969025,-2.26005944361557,3.8,4
27,7,6,1,"16:20",3,"Male",25,0.00573306913373097,0.0219233125059323,0.0161902433722013,0.121824433881513,-2.10517433724458,4.5,2.72222222222222
22,8,5,1,"20:00",3,"Male",22,0.00772888995658864,0.00685743157798886,-0.000871458378599777,0.104762732130712,-2.256057179779,4.4,4
13,10,5.5,1,"20:00",3,"Male",24,0.00688370620600058,0.00755862357801948,0.000674917372018897,0.106309107881331,-2.24140431638901,2.36363636363636,3.63636363636364
18,11,6,1,"19:59",3,"Male",22,0.00900002576055586,0.0106323430203588,0.00163231725980294,0.107266507769115,-2.23243881442512,3,3.33055555555556
18,12,3.5,1,"20:00",3,"Male",23,0.00628028670635964,0.00862097441816757,0.00234068771180792,0.10797487822112,-2.22585668797931,5.14285714285714,5.71428571428571
19,13,3.5,1,"20:00",3,"Male",22,0.00506222791795449,0.00467921667987967,-0.000383011238074821,0.105251179271237,-2.2514056020051,5.42857142857143,5.71428571428571
23,19,6,1,"14:30",3,"Female",23,0.0075260137125517,0.00665643963875876,-0.000869574073792945,0.104764616435519,-2.25603919353692,3.83333333333333,2.41666666666667
18,21,4,1,"20:00",3,"Female",22,0.00858469538540137,0.0105415920236716,0.00195689663827024,0.107591087147582,-2.22941746788622,4.5,5
23,22,6,1,"19:15",3,"Female",26,0.00697481624541772,0.00809380675385535,0.00111899050843763,0.106753181017749,-2.23723582855626,3.83333333333333,3.20833333333333
24,24,6,1,"18:10",3,"Female",25,0.00697523970671857,0.00850208739959714,0.00152684769287857,0.10716103820219,-2.23342254601568,4,3.02777777777778
23,26,6,1,"19:45",3,"Female",22,0.00529856232135774,0.00581115556348258,0.000512593242124844,0.106146783751437,-2.2429323903834,3.83333333333333,3.29166666666667
17,1,2.5,2,"20:00",3,"Male",22,0.00783281864654515,0.00801878792278548,0.000185969276240337,0.105820159785552,-2.24601423153231,6.8,8
14,2,1.5,2,"20:00",3,"Male",23,0.00728423397680454,0.00755664677448097,0.000272412797676434,0.105906603306988,-2.24519767414508,9.33333333333333,13.3333333333333
23,3,6,2,"15:05",3,"Male",23,0.00674298404117077,0.00791955660049745,0.00117657255932668,0.106810763068638,-2.23669657973754,3.83333333333333,2.51388888888889
22,4,5,2,"20:00",3,"Male",23,0.00788506135612793,0.00659515281584119,-0.00128990854028674,0.104344281969025,-2.26005944361557,4.4,4
24,7,6,2,"16:20",3,"Male",25,0.00573306913373097,0.0219233125059323,0.0161902433722013,0.121824433881513,-2.10517433724458,4,2.72222222222222
26,8,5,2,"20:00",3,"Male",22,0.00772888995658864,0.00685743157798886,-0.000871458378599777,0.104762732130712,-2.256057179779,5.2,4
18,10,5.5,2,"20:00",3,"Male",24,0.00688370620600058,0.00755862357801948,0.000674917372018897,0.106309107881331,-2.24140431638901,3.27272727272727,3.63636363636364
23,11,6,2,"19:59",3,"Male",22,0.00900002576055586,0.0106323430203588,0.00163231725980294,0.107266507769115,-2.23243881442512,3.83333333333333,3.33055555555556
20,12,3.5,2,"20:00",3,"Male",23,0.00628028670635964,0.00862097441816757,0.00234068771180792,0.10797487822112,-2.22585668797931,5.71428571428571,5.71428571428571
19,13,3.5,2,"20:00",3,"Male",22,0.00506222791795449,0.00467921667987967,-0.000383011238074821,0.105251179271237,-2.2514056020051,5.42857142857143,5.71428571428571
27,19,6,2,"14:30",3,"Female",23,0.0075260137125517,0.00665643963875876,-0.000869574073792945,0.104764616435519,-2.25603919353692,4.5,2.41666666666667
16,21,4,2,"20:00",3,"Female",22,0.00858469538540137,0.0105415920236716,0.00195689663827024,0.107591087147582,-2.22941746788622,4,5
26,22,6,2,"19:15",3,"Female",26,0.00697481624541772,0.00809380675385535,0.00111899050843763,0.106753181017749,-2.23723582855626,4.33333333333333,3.20833333333333
22,24,6,2,"18:10",3,"Female",25,0.00697523970671857,0.00850208739959714,0.00152684769287857,0.10716103820219,-2.23342254601568,3.66666666666667,3.02777777777778
25,26,6,2,"19:45",3,"Female",22,0.00529856232135774,0.00581115556348258,0.000512593242124844,0.106146783751437,-2.2429323903834,4.16666666666667,3.29166666666667
17,1,2.5,1,"20:00",4,"Male",22,NA,0.00745958510933227,NA,NA,NA,6.8,8
19,2,4,1,"20:00",4,"Male",23,0.00647996583216498,0.00578380230353384,-0.00069616352863114,0.104938026980681,-2.25438532230416,4.75,5
24,3,6,1,"15:25",4,"Male",23,0.00627218743652554,0.00879820231589308,0.00252601487936754,0.108160205388679,-2.22414176775549,4,2.56944444444444
