,Score,Scorer,Time,Session,Sex,Age,PersBase,PersCut,CutFinal
91,22,1,2:33,4,Male,22,NA,NA,NA
92,23,1,3:20,4,Male,23,0.006479966,0.006547132,6.72E-05
93,24,1,3:45,4,Male,23,0.006272187,0.009259306,0.002987119
94,14,1,2:15,4,Male,23,0.007415427,0.007506992,9.16E-05
95,28,1,2:50,4,Male,25,0.009025241,0.006820336,-0.002204906
96,28,1,4:25,4,Male,22,0.006478232,0.006693889,0.000215657
97,19,1,2:15,4,Male,24,0.007354116,0.007729419,0.000375303
98,13,1,3:00,4,Male,22,0.007498998,0.009856716,0.002357718
99,27,1,3:20,4,Male,23,0.006564055,0.009219518,0.002655464
100,25,1,1:30,4,Male,22,0.005510568,0.004842727,-0.000667841
101,27,1,2:25,4,Female,23,0.006194297,0.007106913,0.000912617
102,28,1,1:50,4,Female,22,0.006481278,0.007349012,0.000867734
103,26,1,4:25,4,Female,26,0.007428798,0.007938335,0.000509536
104,25,1,6:50,4,Female,25,0.006053829,0.007794351,0.001740522
105,27,1,1:15,4,Female,22,0.005275333,0.004866012,-0.000409321
106,23,2,2:33,4,Male,22,NA,NA,NA
107,21,2,3:20,4,Male,23,0.006479966,0.006547132,6.72E-05
108,25,2,3:45,4,Male,23,0.006272187,0.009259306,0.002987119
109,15,2,2:15,4,Male,23,0.007415427,0.007506992,9.16E-05
110,27,2,2:50,4,Male,25,0.009025241,0.006820336,-0.002204906
111,25,2,4:25,4,Male,22,0.006478232,0.006693889,0.000215657
112,24,2,2:15,4,Male,24,0.007354116,0.007729419,0.000375303
113,19,2,3:00,4,Male,22,0.007498998,0.009856716,0.002357718
114,25,2,3:20,4,Male,23,0.006564055,0.009219518,0.002655464
115,22,2,1:30,4,Male,22,0.005510568,0.004842727,-0.000667841
116,27,2,2:25,4,Female,23,0.006194297,0.007106913,0.000912617
117,22,2,1:50,4,Female,22,0.006481278,0.007349012,0.000867734
118,25,2,4:25,4,Female,26,0.007428798,0.007938335,0.000509536
119,29,2,6:50,4,Female,25,0.006053829,0.007794351,0.001740522
120,24,2,1:15,4,Female,22,0.005275333,0.004866012,-0.000409321
121,22,1,4:05,5,Male,22,0.02950804,0.012146963,-0.017361077
122,24,1,4:25,5,Male,23,0.006701418,0.006128214,-0.000573203
123,25,1,3:15,5,Male,23,0.008157108,0.008691801,0.000534693
124,15,1,1:55,5,Male,23,0.007356058,0.007997844,0.000641786
125,25,1,3:00,5,Male,25,0.006230693,0.006462659,0.000231966
126,27,1,4:30,5,Male,22,0.007585527,0.007372626,-0.000212902
127,18,1,2:15,5,Male,24,NA,NA,NA
128,16,1,1:20,5,Male,22,0.006326574,0.007499978,0.001173404
