,Score,Scorer,Task,Time,Session,Sex,Age,PersBase,PersCut,PersSut
81,26,2,Suturing,20:00,3,Male,22,0.00772889,0.005561151,0.006857432
82,18,2,Suturing,20:00,3,Male,24,0.006883706,0.008196846,0.007558624
83,23,2,Suturing,19:59,3,Male,22,0.009000026,0.011746738,0.010632343
84,20,2,Suturing,20:00,3,Male,23,0.006280287,0.008561239,0.008620974
85,19,2,Suturing,20:00,3,Male,22,0.005062228,0.005092271,0.004679217
86,27,2,Suturing,14:30,3,Female,23,0.007526014,0.008039198,0.00665644
87,16,2,Suturing,20:00,3,Female,22,0.008584695,0.008016287,0.010541592
88,26,2,Suturing,19:15,3,Female,26,0.006974816,0.008239999,0.008093807
89,22,2,Suturing,18:10,3,Female,25,0.00697524,0.008025719,0.008502087
90,25,2,Suturing,19:45,3,Female,22,0.005298562,0.005862512,0.005811156
91,17,1,Suturing,20:00,4,Male,22,NA,NA,0.007459585
92,19,1,Suturing,20:00,4,Male,23,0.006479966,0.006547132,0.005783802
93,24,1,Suturing,15:25,4,Male,23,0.006272187,0.009259306,0.008798202
94,22,1,Suturing,17:30,4,Male,23,0.007415427,0.007506992,0.007656514
95,29,1,Suturing,12:10,4,Male,25,0.009025241,0.006820336,0.008528037
96,28,1,Suturing,11:55,4,Male,22,0.006478232,0.006693889,0.006690486
97,14,1,Suturing,18:35,4,Male,24,0.007354116,0.007729419,0.008148792
98,20,1,Suturing,20:00,4,Male,22,0.007498998,0.009856716,0.008491748
99,20,1,Suturing,19:45,4,Male,23,0.006564055,0.009219518,0.008775202
100,17,1,Suturing,20:00,4,Male,22,0.005510568,0.004842727,0.005303931
101,25,1,Suturing,12:10,4,Female,23,0.006194297,0.007106913,0.007715197
102,24,1,Suturing,20:00,4,Female,22,0.006481278,0.007349012,0.010517984
103,24,1,Suturing,19:55,4,Female,26,0.007428798,0.007938335,0.008524576
104,23,1,Suturing,19:55,4,Female,25,0.006053829,0.007794351,0.008695699
105,25,1,Suturing,14:25,4,Female,22,0.005275333,0.004866012,0.005160709
106,18,2,Suturing,20:00,4,Male,22,NA,NA,0.007459585
107,21,2,Suturing,20:00,4,Male,23,0.006479966,0.006547132,0.005783802
108,25,2,Suturing,15:25,4,Male,23,0.006272187,0.009259306,0.008798202
