,Score,Sutur,Scorer,Time,Session,Sex,Age,PersBase,PersSut,SuturFinal,SutFinalAdjusted,SutFinalLog,SuturQuality,SuturQuantity
55,15,2,2,20:00,2,Male,22,0.006099068,0.006327294,0.000228226,0.105862416,-2.245614987,7.5,10
56,24,6,2,17:50,2,Female,23,0.006964775,0.006350764,-0.000614011,0.105020179,-2.253602762,4,2.972222222
57,19,2.5,2,20:00,2,Female,22,0.00950609,0.008347064,-0.001159026,0.104475164,-2.258805899,7.6,8
58,22,6,2,19:55,2,Female,26,0.006569979,0.009510327,0.002940349,0.108574539,-2.220318345,3.666666667,3.319444444
59,22,6,2,19:50,2,Female,25,0.009001595,0.007136204,-0.001865391,0.1037688,-2.265589935,3.666666667,3.305555556
60,25,6,2,18:05,2,Female,22,0.00480079,0.00541403,0.000613241,0.106247431,-2.241984646,4.166666667,3.013888889
61,16,2.5,1,20:00,3,Male,22,0.007832819,0.008018788,0.000185969,0.10582016,-2.246014232,6.4,8
62,16,1.5,1,20:00,3,Male,23,0.007284234,0.007556647,0.000272413,0.105906603,-2.245197674,10.66666667,13.33333333
63,25,6,1,15:05,3,Male,23,0.006742984,0.007919557,0.001176573,0.106810763,-2.23669658,4.166666667,2.513888889
64,19,5,1,20:00,3,Male,23,0.007885061,0.006595153,-0.001289909,0.104344282,-2.260059444,3.8,4
65,27,6,1,16:20,3,Male,25,0.005733069,0.021923313,0.016190243,0.121824434,-2.105174337,4.5,2.722222222
66,22,5,1,20:00,3,Male,22,0.00772889,0.006857432,-0.000871458,0.104762732,-2.25605718,4.4,4
67,13,5.5,1,20:00,3,Male,24,0.006883706,0.007558624,0.000674917,0.106309108,-2.241404316,2.363636364,3.636363636
68,18,6,1,19:59,3,Male,22,0.009000026,0.010632343,0.001632317,0.107266508,-2.232438814,3,3.330555556
69,18,3.5,1,20:00,3,Male,23,0.006280287,0.008620974,0.002340688,0.107974878,-2.225856688,5.142857143,5.714285714
70,19,3.5,1,20:00,3,Male,22,0.005062228,0.004679217,-0.000383011,0.105251179,-2.251405602,5.428571429,5.714285714
71,23,6,1,14:30,3,Female,23,0.007526014,0.00665644,-0.000869574,0.104764616,-2.256039194,3.833333333,2.416666667
72,18,4,1,20:00,3,Female,22,0.008584695,0.010541592,0.001956897,0.107591087,-2.229417468,4.5,5
73,23,6,1,19:15,3,Female,26,0.006974816,0.008093807,0.001118991,0.106753181,-2.237235829,3.833333333,3.208333333
74,24,6,1,18:10,3,Female,25,0.00697524,0.008502087,0.001526848,0.107161038,-2.233422546,4,3.027777778
75,23,6,1,19:45,3,Female,22,0.005298562,0.005811156,0.000512593,0.106146784,-2.24293239,3.833333333,3.291666667
76,17,2.5,2,20:00,3,Male,22,0.007832819,0.008018788,0.000185969,0.10582016,-2.246014232,6.8,8
77,14,1.5,2,20:00,3,Male,23,0.007284234,0.007556647,0.000272413,0.105906603,-2.245197674,9.333333333,13.33333333
78,23,6,2,15:05,3,Male,23,0.006742984,0.007919557,0.001176573,0.106810763,-2.23669658,3.833333333,2.513888889
79,22,5,2,20:00,3,Male,23,0.007885061,0.006595153,-0.001289909,0.104344282,-2.260059444,4.4,4
80,24,6,2,16:20,3,Male,25,0.005733069,0.021923313,0.016190243,0.121824434,-2.105174337,4,2.722222222
81,26,5,2,20:00,3,Male,22,0.00772889,0.006857432,-0.000871458,0.104762732,-2.25605718,5.2,4
82,18,5.5,2,20:00,3,Male,24,0.006883706,0.007558624,0.000674917,0.106309108,-2.241404316,3.272727273,3.636363636
83,23,6,2,19:59,3,Male,22,0.009000026,0.010632343,0.001632317,0.107266508,-2.232438814,3.833333333,3.330555556
84,20,3.5,2,20:00,3,Male,23,0.006280287,0.008620974,0.002340688,0.107974878,-2.225856688,5.714285714,5.714285714
85,19,3.5,2,20:00,3,Male,22,0.005062228,0.004679217,-0.000383011,0.105251179,-2.251405602,5.428571429,5.714285714
86,27,6,2,14:30,3,Female,23,0.007526014,0.00665644,-0.000869574,0.104764616,-2.256039194,4.5,2.416666667
87,16,4,2,20:00,3,Female,22,0.008584695,0.010541592,0.001956897,0.107591087,-2.229417468,4,5
88,26,6,2,19:15,3,Female,26,0.006974816,0.008093807,0.001118991,0.106753181,-2.237235829,4.333333333,3.208333333
89,22,6,2,18:10,3,Female,25,0.00697524,0.008502087,0.001526848,0.107161038,-2.233422546,3.666666667,3.027777778
90,25,6,2,19:45,3,Female,22,0.005298562,0.005811156,0.000512593,0.106146784,-2.24293239,4.166666667,3.291666667
91,17,2.5,1,20:00,4,Male,22,NA,0.007459585,NA,NA,NA,6.8,8
92,19,4,1,20:00,4,Male,23,0.006479966,0.005783802,-0.000696164,0.104938027,-2.254385322,4.75,5
93,24,6,1,15:25,4,Male,23,0.006272187,0.008798202,0.002526015,0.108160205,-2.224141768,4,2.569444444
94,22,6,1,17:30,4,Male,23,0.007415427,0.007656514,0.000241088,0.105875278,-2.2454935,3.666666667,2.916666667
95,29,6,1,12:10,4,Male,25,0.009025241,0.008528037,-0.000497204,0.105136986,-2.252491149,4.833333333,2.027777778
96,28,6,1,11:55,4,Male,22,0.006478232,0.006690486,0.000212254,0.105846445,-2.24576587,4.666666667,1.986111111
97,14,5.5,1,18:35,4,Male,24,0.007354116,0.008148792,0.000794676,0.106428866,-2.240278439,2.545454545,3.378787879
98,20,5.5,1,20:00,4,Male,22,0.007498998,0.008491748,0.000992751,0.106626941,-2.238419069,3.636363636,3.636363636
99,20,6,1,19:45,4,Male,23,0.006564055,0.008775202,0.002211148,0.107845338,-2.227057134,3.333333333,3.291666667
100,17,3,1,20:00,4,Male,22,0.005510568,0.005303931,-0.000206637,0.105427554,-2.249731254,5.666666667,6.666666667
101,25,6,1,12:10,4,Female,23,0.006194297,0.007715197,0.001520901,0.107155091,-2.233478044,4.166666667,2.027777778
102,24,5.5,1,20:00,4,Female,22,0.006481278,0.010517984,0.004036705,0.109670896,-2.210271255,4.363636364,3.636363636
103,24,6,1,19:55,4,Female,26,0.007428798,0.008524576,0.001095778,0.106729969,-2.237453291,4,3.319444444
104,23,5,1,19:55,4,Female,25,0.006053829,0.008695699,0.00264187,0.10827606,-2.223071199,4.6,3.983333333
105,25,6,1,14:25,4,Female,22,0.005275333,0.005160709,-0.000114624,0.105519566,-2.248858883,4.166666667,2.402777778
106,18,2.5,2,20:00,4,Male,22,NA,0.007459585,NA,NA,NA,7.2,8
107,21,4,2,20:00,4,Male,23,0.006479966,0.005783802,-0.000696164,0.104938027,-2.254385322,5.25,5
108,25,6,2,15:25,4,Male,23,0.006272187,0.008798202,0.002526015,0.108160205,-2.224141768,4.166666667,2.569444444
109,24,6,2,17:30,4,Male,23,0.007415427,0.007656514,0.000241088,0.105875278,-2.2454935,4,2.916666667
110,28,6,2,12:10,4,Male,25,0.009025241,0.008528037,-0.000497204,0.105136986,-2.252491149,4.666666667,2.027777778
111,29,6,2,11:55,4,Male,22,0.006478232,0.006690486,0.000212254,0.105846445,-2.24576587,4.833333333,1.986111111
112,19,5.5,2,18:35,4,Male,24,0.007354116,0.008148792,0.000794676,0.106428866,-2.240278439,3.454545455,3.378787879
113,22,5.5,2,20:00,4,Male,22,0.007498998,0.008491748,0.000992751,0.106626941,-2.238419069,4,3.636363636
