Score,Scorer,Time,Session,Sex,Age,Task,FinalPP,BasePP,lnBasePP,TaskPP,lnTaskPP
22,2,19:55,4,Female,25,Suturing,0.157274349,0.006053829,-2.217969851,0.008695699,-2.060695502
20,2,14:25,4,Female,22,Suturing,-0.009540508,0.005275333,-2.277750121,0.005160709,-2.287290629
15,1,20:00,5,Male,22,Suturing,NA,0.02950804,-1.530059636,NA,NA
20,1,19:10,5,Male,23,Suturing,-0.056063358,0.006701418,-2.173833292,0.005889838,-2.22989665
23,1,18:10,5,Male,23,Suturing,-0.011754711,0.008157108,-2.088463788,0.007939287,-2.100218498
22,1,16:05,5,Male,23,Suturing,0.032249225,0.007356058,-2.133354855,0.007923086,-2.10110563
23,1,17:10,5,Male,25,Suturing,0.055299157,0.006230693,-2.205463647,0.007076777,-2.150164489
27,1,18:05,5,Male,22,Suturing,-0.058494633,0.007585527,-2.120014241,0.006629658,-2.178508875
15,1,14:10,5,Male,24,Suturing,NA,NA,NA,NA,NA
23,1,19:00,5,Male,22,Suturing,0.065875296,0.006326574,-2.198831408,0.007362815,-2.132956112
24,1,20:00,5,Male,23,Suturing,0.065997317,0.006790488,-2.168099014,0.007904935,-2.102101697
19,1,20:00,5,Male,22,Suturing,0.001492533,0.00858393,-2.066313833,0.008613481,-2.0648213
27,1,12:55,5,Female,23,Suturing,0.082064821,0.00681288,-2.166669261,0.008229919,-2.084604439
25,1,18:35,5,Female,22,Suturing,0.266571281,0.006031647,-2.219564083,0.01114313,-1.952992803
26,1,19:20,5,Female,26,Suturing,0.046106188,0.006856825,-2.163876934,0.007624814,-2.117770746
23,1,19:40,5,Female,25,Suturing,0.005309341,0.00645223,-2.19029016,0.006531594,-2.184980819
27,1,12:35,5,Female,22,Suturing,0.059305422,0.004764787,-2.321956509,0.005461965,-2.262651087
17,2,20:00,5,Male,22,Suturing,NA,0.02950804,-1.530059636,NA,NA
21,2,19:10,5,Male,23,Suturing,-0.056063358,0.006701418,-2.173833292,0.005889838,-2.22989665
23,2,18:10,5,Male,23,Suturing,-0.011754711,0.008157108,-2.088463788,0.007939287,-2.100218498
25,2,16:05,5,Male,23,Suturing,0.032249225,0.007356058,-2.133354855,0.007923086,-2.10110563
27,2,17:10,5,Male,25,Suturing,0.055299157,0.006230693,-2.205463647,0.007076777,-2.150164489
28,2,18:05,5,Male,22,Suturing,-0.058494633,0.007585527,-2.120014241,0.006629658,-2.178508875
21,2,14:10,5,Male,24,Suturing,NA,NA,NA,NA,NA
20,2,19:00,5,Male,22,Suturing,0.065875296,0.006326574,-2.198831408,0.007362815,-2.132956112
21,2,20:00,5,Male,23,Suturing,0.065997317,0.006790488,-2.168099014,0.007904935,-2.102101697
17,2,20:00,5,Male,22,Suturing,0.001492533,0.00858393,-2.066313833,0.008613481,-2.0648213
27,2,12:55,5,Female,23,Suturing,0.082064821,0.00681288,-2.166669261,0.008229919,-2.084604439
22,2,18:35,5,Female,22,Suturing,0.266571281,0.006031647,-2.219564083,0.01114313,-1.952992803
20,2,19:20,5,Female,26,Suturing,0.046106188,0.006856825,-2.163876934,0.007624814,-2.117770746
20,2,19:40,5,Female,25,Suturing,0.005309341,0.00645223,-2.19029016,0.006531594,-2.184980819
27,2,12:35,5,Female,22,Suturing,0.059305422,0.004764787,-2.321956509,0.005461965,-2.262651087
