Score,Subject,Task,Timesec,Scorer,Time,Session,Sex,Age,PPLog,PersBase,PersCut,CutFinal,CutFinalAdjusted,CutFinalLog,Time
12,4,Cutting,180,2,3:00,2,Male,23,-2.137269997,0.006194256,0.006809658,0.000615403,0.11797648,-2.137269997,3:00
24,7,Cutting,285,2,4:45,2,Male,25,-2.137672276,0.004680264,0.005248217,0.000567953,0.11792903,-2.137672276,4:45
20,8,Cutting,240,2,4:00,2,Male,22,-2.164120595,0.008557117,0.00604693,-0.002510187,0.114850891,-2.164120595,4:00
17,10,Cutting,185,2,3:05,2,Male,24,NA,0.006689656,NA,NA,NA,NA,3:05
12,11,Cutting,190,2,3:10,2,Male,22,-2.158423509,0.008027844,0.006173841,-0.001854004,0.115507073,-2.158423509,3:10
20,12,Cutting,270,2,4:30,2,Male,23,-2.131792706,0.006268308,0.007531675,0.001263367,0.118624444,-2.131792706,4:30
20,13,Cutting,115,2,1:55,2,Male,22,-2.145548711,0.006099068,0.005741809,-0.000357259,0.117003818,-2.145548711,1:55
24,19,Cutting,150,2,2:30,2,Female,23,-2.136479377,0.006964775,0.007673489,0.000708714,0.118069791,-2.136479377,2:30
21,21,Cutting,330,2,5:30,2,Female,22,-2.144343806,0.00950609,0.009289895,-0.000216196,0.117144882,-2.144343806,5:30
21,22,Cutting,190,2,3:10,2,Female,26,-2.12395476,0.006569979,0.008766771,0.002196792,0.11955787,-2.12395476,3:10
23,24,Cutting,185,2,3:05,2,Female,25,-2.155613412,0.009001595,0.007472633,-0.001528961,0.115832116,-2.155613412,3:05
25,26,Cutting,150,2,2:30,2,Female,22,-2.141712185,0.00480079,0.004893281,9.25E-05,0.117453569,-2.141712185,2:30
23,1,Cutting,487,1,8:07,3,Male,22,-2.149846015,0.007832819,0.006973837,-0.000858981,0.116502096,-2.149846015,8:07
22,2,Cutting,305,1,5:05,3,Male,23,-2.133522578,0.007284234,0.008342573,0.001058339,0.118419417,-2.133522578,5:05
24,3,Cutting,260,1,4:20,3,Male,23,-2.141765672,0.006742984,0.006829193,8.62E-05,0.117447287,-2.141765672,4:20
15,4,Cutting,130,1,2:10,3,Male,23,-2.141491486,0.007885061,0.008003477,0.000118416,0.117479493,-2.141491486,2:10
29,7,Cutting,180,1,3:00,3,Male,25,-2.136323624,0.005733069,0.006460174,0.000727105,0.118088183,-2.136323624,3:00
24,8,Cutting,275,1,4:35,3,Male,22,-2.161143356,0.00772889,0.005561151,-0.002167739,0.115193339,-2.161143356,4:35
18,10,Cutting,170,1,2:50,3,Male,24,-2.131373211,0.006883706,0.008196846,0.00131314,0.118674217,-2.131373211,2:50
15,11,Cutting,125,1,2:05,3,Male,22,-2.11936569,0.009000026,0.011746738,0.002746713,0.12010779,-2.11936569,2:05
23,12,Cutting,330,1,5:30,3,Male,23,-2.12325108,0.006280287,0.008561239,0.002280952,0.11964203,-2.12325108,5:30
25,13,Cutting,105,1,1:45,3,Male,22,-2.142244013,0.005062228,0.005092271,3.00E-05,0.11739112,-2.142244013,1:45
24,19,Cutting,170,1,2:50,3,Female,23,-2.1381368,0.007526014,0.008039198,0.000513184,0.117874262,-2.1381368,2:50
26,21,Cutting,115,1,1:55,3,Female,22,-2.147354979,0.008584695,0.008016287,-0.000568409,0.116792669,-2.147354979,1:55
23,22,Cutting,270,1,4:30,3,Female,26,-2.131777397,0.006974816,0.008239999,0.001265183,0.11862626,-2.131777397,4:30
25,24,Cutting,320,1,5:20,3,Female,25,-2.133588953,0.00697524,0.008025719,0.001050479,0.118411557,-2.133588953,5:20
27,26,Cutting,270,1,4:30,3,Female,22,-2.137706222,0.005298562,0.005862512,0.00056395,0.117925027,-2.137706222,4:30
23,1,Cutting,487,2,8:07,3,Male,22,-2.149846015,0.007832819,0.006973837,-0.000858981,0.116502096,-2.149846015,8:07
23,2,Cutting,305,2,5:05,3,Male,23,-2.133522578,0.007284234,0.008342573,0.001058339,0.118419417,-2.133522578,5:05
26,3,Cutting,260,2,4:20,3,Male,23,-2.141765672,0.006742984,0.006829193,8.62E-05,0.117447287,-2.141765672,4:20
14,4,Cutting,130,2,2:10,3,Male,23,-2.141491486,0.007885061,0.008003477,0.000118416,0.117479493,-2.141491486,2:10
28,7,Cutting,180,2,3:00,3,Male,25,-2.136323624,0.005733069,0.006460174,0.000727105,0.118088183,-2.136323624,3:00
25,8,Cutting,275,2,4:35,3,Male,22,-2.161143356,0.00772889,0.005561151,-0.002167739,0.115193339,-2.161143356,4:35
19,10,Cutting,170,2,2:50,3,Male,24,-2.131373211,0.006883706,0.008196846,0.00131314,0.118674217,-2.131373211,2:50
14,11,Cutting,125,2,2:05,3,Male,22,-2.11936569,0.009000026,0.011746738,0.002746713,0.12010779,-2.11936569,2:05
25,12,Cutting,330,2,5:30,3,Male,23,-2.12325108,0.006280287,0.008561239,0.002280952,0.11964203,-2.12325108,5:30
23,13,Cutting,105,2,1:45,3,Male,22,-2.142244013,0.005062228,0.005092271,3.00E-05,0.11739112,-2.142244013,1:45
26,19,Cutting,170,2,2:50,3,Female,23,-2.1381368,0.007526014,0.008039198,0.000513184,0.117874262,-2.1381368,2:50
24,21,Cutting,115,2,1:55,3,Female,22,-2.147354979,0.008584695,0.008016287,-0.000568409,0.116792669,-2.147354979,1:55
24,22,Cutting,270,2,4:30,3,Female,26,-2.131777397,0.006974816,0.008239999,0.001265183,0.11862626,-2.131777397,4:30
23,24,Cutting,320,2,5:20,3,Female,25,-2.133588953,0.00697524,0.008025719,0.001050479,0.118411557,-2.133588953,5:20
22,26,Cutting,270,2,4:30,3,Female,22,-2.137706222,0.005298562,0.005862512,0.00056395,0.117925027,-2.137706222,4:30
22,1,Cutting,153,1,2:33,4,Male,22,NA,NA,NA,NA,NA,NA,2:33
23,2,Cutting,200,1,3:20,4,Male,23,-2.141927821,0.006479966,0.006547132,6.72E-05,0.117428244,-2.141927821,3:20
24,3,Cutting,225,1,3:45,4,Male,23,-2.117366105,0.006272187,0.009259306,0.002987119,0.120348196,-2.117366105,3:45
