"","Score","Sutur","Scorer","Time","Session","Sex","Age","PersBase","PersSut","SuturFinal","SuturQuality","SuturQuantity"
"1",13,1.5,1,"20:00",1,"Male",22,0.00665744490104166,0.0070718845284046,0.000414439627362946,8.66666666666667,800
"2",15,2,1,"20:00",1,"Male",23,0.0135702449326218,0.00793605442331004,-0.0056341905093118,7.5,600
"3",18,2.5,1,"20:00",1,"Male",23,0.00704019340307122,0.00553802260093174,-0.00150217080213948,7.2,480
"4",12,1,1,"20:00",1,"Male",23,0.00686174060867958,0.00785235768864998,0.000990617079970401,12,1200
"5",22,4,1,"20:00",1,"Male",25,0.00763951424887054,0.00755328779180717,-8.62264570633698e-05,5.5,300
"6",9,0.5,1,"20:00",1,"Male",22,0.0056551159201541,NA,NA,18,2400
"7",10,1,1,"20:00",1,"Male",24,0.00762653706074221,0.0072384013255072,-0.000388135735235016,10,1200
"8",14,2,1,"20:00",1,"Male",22,0.00755480758545151,0.00699007877257236,-0.00056472881287915,7,600
"9",11,1,1,"20:00",1,"Male",23,0.00764725718358287,0.00829500454192847,0.000647747358345596,11,1200
"10",13,1.5,1,"20:00",1,"Male",22,0.00617718260624288,0.00655793977520076,0.000380757168957882,8.66666666666667,800
"11",12,2,1,"20:00",1,"Female",23,NA,NA,NA,6,600
"12",13,1.5,1,"20:00",1,"Female",22,0.00618751978733782,0.0071207222058969,0.000933202418559084,8.66666666666667,800
"13",16,3,1,"20:00",1,"Female",26,0.00762183358702741,0.011385123200983,0.00376328961395559,5.33333333333333,400
"14",21,6,1,"19:15",1,"Female",25,0.00880881700743211,0.00626996027125724,-0.00253885673617487,3.5,192.5
"15",15,3.5,1,"20:00",1,"Female",22,0.0070293657315276,0.0066623533756883,-0.000367012355839296,4.28571428571429,342.857142857143
"16",15,1.5,2,"20:00",1,"Male",22,0.00665744490104166,0.0070718845284046,0.000414439627362946,10,800
"17",17,2,2,"20:00",1,"Male",23,0.0135702449326218,0.00793605442331004,-0.0056341905093118,8.5,600
"18",17,2.5,2,"20:00",1,"Male",23,0.00704019340307122,0.00553802260093174,-0.00150217080213948,6.8,480
"19",11,1,2,"20:00",1,"Male",23,0.00686174060867958,0.00785235768864998,0.000990617079970401,11,1200
"20",23,4,2,"20:00",1,"Male",25,0.00763951424887054,0.00755328779180717,-8.62264570633698e-05,5.75,300
"21",10,0.5,2,"20:00",1,"Male",22,0.0056551159201541,NA,NA,20,2400
"22",13,1,2,"20:00",1,"Male",24,0.00762653706074221,0.0072384013255072,-0.000388135735235016,13,1200
"23",17,2,2,"20:00",1,"Male",22,0.00755480758545151,0.00699007877257236,-0.00056472881287915,8.5,600
"24",10,1,2,"20:00",1,"Male",23,0.00764725718358287,0.00829500454192847,0.000647747358345596,10,1200
"25",15,1.5,2,"20:00",1,"Male",22,0.00617718260624288,0.00655793977520076,0.000380757168957882,10,800
"26",16,2,2,"20:00",1,"Female",23,NA,NA,NA,8,600
"27",17,1.5,2,"20:00",1,"Female",22,0.00618751978733782,0.0071207222058969,0.000933202418559084,11.3333333333333,800
