,Score,Scorer,Time,Session,Sex,Age,PersBase,PersCut,CutFinal,CutFinalAdjusted,CutFinalLog,,,,,,
45,24,1,2:30,2,Female,22,0.00480079,0.004893281,9.25E-05,0.117453569,-2.141712185,,,,9.24911E-05,0.117453571,-2.141712163
46,18,2,5:59,2,Male,22,0.008652118,0.009799286,0.001147167,0.118508245,-2.132772745,,,,0.001147167,0.118508247,-2.132772723
47,20,2,4:15,2,Male,23,0.012602266,0.0065465,-0.006055766,0.111305311,-2.1954783,,,,-0.006055766,0.111305314,-2.195478276
48,23,2,7:50,2,Male,23,0.006118958,0.009439193,0.003320235,0.120681313,-2.114601989,,,,0.003320235,0.120681315,-2.114601967
49,12,2,3:00,2,Male,23,0.006194256,0.006809658,0.000615403,0.11797648,-2.137269997,,,,0.000615403,0.117976483,-2.137269975
50,24,2,4:45,2,Male,25,0.004680264,0.005248217,0.000567953,0.11792903,-2.137672276,,,,0.000567953,0.117929033,-2.137672254
51,20,2,4:00,2,Male,22,0.008557117,0.00604693,-0.002510187,0.114850891,-2.164120595,,,,-0.002510187,0.114850893,-2.164120572
52,17,2,3:05,2,Male,24,0.006689656,NA,NA,NA,NA,,,,#VALUE!,#VALUE!,#VALUE!
53,12,2,3:10,2,Male,22,0.008027844,0.006173841,-0.001854004,0.115507073,-2.158423509,,,,-0.001854004,0.115507076,-2.158423486
54,20,2,4:30,2,Male,23,0.006268308,0.007531675,0.001263367,0.118624444,-2.131792706,,,,0.001263367,0.118624447,-2.131792684
55,20,2,1:55,2,Male,22,0.006099068,0.005741809,-0.000357259,0.117003818,-2.145548711,,,,-0.000357259,0.117003821,-2.145548689
56,24,2,2:30,2,Female,23,0.006964775,0.007673489,0.000708714,0.118069791,-2.136479377,,,,0.000708714,0.118069794,-2.136479354
57,21,2,5:30,2,Female,22,0.00950609,0.009289895,-0.000216196,0.117144882,-2.144343806,,,,-0.000216196,0.117144884,-2.144343783
58,21,2,3:10,2,Female,26,0.006569979,0.008766771,0.002196792,0.11955787,-2.12395476,,,,0.002196792,0.119557872,-2.123954738
59,23,2,3:05,2,Female,25,0.009001595,0.007472633,-0.001528961,0.115832116,-2.155613412,,,,-0.001528961,0.115832119,-2.155613389
60,25,2,2:30,2,Female,22,0.00480079,0.004893281,9.25E-05,0.117453569,-2.141712185,,,,9.24911E-05,0.117453571,-2.141712163
61,23,1,8:07,3,Male,22,0.007832819,0.006973837,-0.000858981,0.116502096,-2.149846015,,,,-0.000858981,0.116502099,-2.149845992
62,22,1,5:05,3,Male,23,0.007284234,0.008342573,0.001058339,0.118419417,-2.133522578,,,,0.001058339,0.118419419,-2.133522556
63,24,1,4:20,3,Male,23,0.006742984,0.006829193,8.62E-05,0.117447287,-2.141765672,,,,8.62092E-05,0.117447289,-2.141765649
64,15,1,2:10,3,Male,23,0.007885061,0.008003477,0.000118416,0.117479493,-2.141491486,,,,0.000118416,0.117479496,-2.141491463
65,29,1,3:00,3,Male,25,0.005733069,0.006460174,0.000727105,0.118088183,-2.136323624,,,,0.000727105,0.118088185,-2.136323601
66,24,1,4:35,3,Male,22,0.00772889,0.005561151,-0.002167739,0.115193339,-2.161143356,,,,-0.002167739,0.115193341,-2.161143333
67,18,1,2:50,3,Male,24,0.006883706,0.008196846,0.00131314,0.118674217,-2.131373211,,,,0.00131314,0.11867422,-2.131373189
68,15,1,2:05,3,Male,22,0.009000026,0.011746738,0.002746713,0.12010779,-2.11936569,,,,0.002746713,0.120107793,-2.119365668
69,23,1,5:30,3,Male,23,0.006280287,0.008561239,0.002280952,0.11964203,-2.12325108,,,,0.002280952,0.119642032,-2.123251058
70,25,1,1:45,3,Male,22,0.005062228,0.005092271,3.00E-05,0.11739112,-2.142244013,,,,3.00427E-05,0.117391123,-2.14224399
71,24,1,2:50,3,Female,23,0.007526014,0.008039198,0.000513184,0.117874262,-2.1381368,,,,0.000513184,0.117874264,-2.138136778
72,26,1,1:55,3,Female,22,0.008584695,0.008016287,-0.000568409,0.116792669,-2.147354979,,,,-0.000568409,0.116792671,-2.147354957
73,23,1,4:30,3,Female,26,0.006974816,0.008239999,0.001265183,0.11862626,-2.131777397,,,,0.001265183,0.118626263,-2.131777375
74,25,1,5:20,3,Female,25,0.00697524,0.008025719,0.001050479,0.118411557,-2.133588953,,,,0.001050479,0.118411559,-2.13358893
75,27,1,4:30,3,Female,22,0.005298562,0.005862512,0.00056395,0.117925027,-2.137706222,,,,0.00056395,0.11792503,-2.137706199
76,23,2,8:07,3,Male,22,0.007832819,0.006973837,-0.000858981,0.116502096,-2.149846015,,,,-0.000858981,0.116502099,-2.149845992
77,23,2,5:05,3,Male,23,0.007284234,0.008342573,0.001058339,0.118419417,-2.133522578,,,,0.001058339,0.118419419,-2.133522556
78,26,2,4:20,3,Male,23,0.006742984,0.006829193,8.62E-05,0.117447287,-2.141765672,,,,8.62092E-05,0.117447289,-2.141765649
79,14,2,2:10,3,Male,23,0.007885061,0.008003477,0.000118416,0.117479493,-2.141491486,,,,0.000118416,0.117479496,-2.141491463
80,28,2,3:00,3,Male,25,0.005733069,0.006460174,0.000727105,0.118088183,-2.136323624,,,,0.000727105,0.118088185,-2.136323601
81,25,2,4:35,3,Male,22,0.00772889,0.005561151,-0.002167739,0.115193339,-2.161143356,,,,-0.002167739,0.115193341,-2.161143333
82,19,2,2:50,3,Male,24,0.006883706,0.008196846,0.00131314,0.118674217,-2.131373211,,,,0.00131314,0.11867422,-2.131373189
83,14,2,2:05,3,Male,22,0.009000026,0.011746738,0.002746713,0.12010779,-2.11936569,,,,0.002746713,0.120107793,-2.119365668
84,25,2,5:30,3,Male,23,0.006280287,0.008561239,0.002280952,0.11964203,-2.12325108,,,,0.002280952,0.119642032,-2.123251058
85,23,2,1:45,3,Male,22,0.005062228,0.005092271,3.00E-05,0.11739112,-2.142244013,,,,3.00427E-05,0.117391123,-2.14224399
86,26,2,2:50,3,Female,23,0.007526014,0.008039198,0.000513184,0.117874262,-2.1381368,,,,0.000513184,0.117874264,-2.138136778
87,24,2,1:55,3,Female,22,0.008584695,0.008016287,-0.000568409,0.116792669,-2.147354979,,,,-0.000568409,0.116792671,-2.147354957
88,24,2,4:30,3,Female,26,0.006974816,0.008239999,0.001265183,0.11862626,-2.131777397,,,,0.001265183,0.118626263,-2.131777375
89,23,2,5:20,3,Female,25,0.00697524,0.008025719,0.001050479,0.118411557,-2.133588953,,,,0.001050479,0.118411559,-2.13358893
90,22,2,4:30,3,Female,22,0.005298562,0.005862512,0.00056395,0.117925027,-2.137706222,,,,0.00056395,0.11792503,-2.137706199
91,22,1,2:33,4,Male,22,NA,NA,NA,NA,NA,,,,#VALUE!,#VALUE!,#VALUE!
92,23,1,3:20,4,Male,23,0.006479966,0.006547132,6.72E-05,0.117428244,-2.141927821,,,,6.71667E-05,0.117428247,-2.141927799
93,24,1,3:45,4,Male,23,0.006272187,0.009259306,0.002987119,0.120348196,-2.117366105,,,,0.002987119,0.120348199,-2.117366083
