"Score","ID","Scorer","Time","Session","Sex","Age","PersBase","PersCut","CutFinal","CutFinalAdjusted","CutFinalLog"
24,21,1,"5:30",2,"Female",22,0.00950609028924422,0.00928989452949413,-0.000216195759750088,0.117144881597835,-2.14434380599575
22,22,1,"3:10",2,"Female",26,0.00656997883197558,0.0087667711420479,0.00219679231007232,0.119557869667657,-2.12395475982771
25,24,1,"3:05",2,"Female",25,0.00900159465723241,0.00747263333089724,-0.00152896132633516,0.11583211603125,-2.15561341178336
24,26,1,"2:30",2,"Female",22,0.00480078955497905,0.00489328070461873,9.24911496396749e-05,0.117453568507225,-2.1417121851355
18,1,2,"5:59",2,"Male",22,0.00865211812952418,0.00979928551253378,0.00114716738300959,0.118508244740594,-2.13277274495724
20,2,2,"4:15",2,"Male",23,0.0126022660033297,0.00654650009943282,-0.00605576590389683,0.111305311453688,-2.19547829988343
23,3,2,"7:50",2,"Male",23,0.00611895778022799,0.00943919293332482,0.00332023515309683,0.120681312510682,-2.11460198879184
12,4,2,"3:00",2,"Male",23,0.0061942555633028,0.00680965808270975,0.000615402519406952,0.117976479876992,-2.1372699974603
24,7,2,"4:45",2,"Male",25,0.00468026442953054,0.00524821706992524,0.000567952640394697,0.11792902999798,-2.13767227614957
20,8,2,"4:00",2,"Male",22,0.00855711678087074,0.00604693008514389,-0.00251018669572685,0.114850890661858,-2.16412059487616
17,10,2,"3:05",2,"Male",24,0.00668965572082166,NA,NA,NA,NA
12,11,2,"3:10",2,"Male",22,0.00802784441788201,0.00617384053765929,-0.00185400388022271,0.115507073477362,-2.15842350866727
20,12,2,"4:30",2,"Male",23,0.00626830778965419,0.00753167476076492,0.00126336697111072,0.118624444328696,-2.13179270633113
20,13,2,"1:55",2,"Male",22,0.00609906837794052,0.00574180914891238,-0.000357259229028135,0.117003818128557,-2.14554871113944
24,19,2,"2:30",2,"Female",23,0.00696477520775611,0.00767348925744736,0.000708714049691245,0.118069791407276,-2.13647937675159
21,21,2,"5:30",2,"Female",22,0.00950609028924422,0.00928989452949413,-0.000216195759750088,0.117144881597835,-2.14434380599575
21,22,2,"3:10",2,"Female",26,0.00656997883197558,0.0087667711420479,0.00219679231007232,0.119557869667657,-2.12395475982771
23,24,2,"3:05",2,"Female",25,0.00900159465723241,0.00747263333089724,-0.00152896132633516,0.11583211603125,-2.15561341178336
25,26,2,"2:30",2,"Female",22,0.00480078955497905,0.00489328070461873,9.24911496396749e-05,0.117453568507225,-2.1417121851355
23,1,1,"8:07",3,"Male",22,0.00783281864654515,0.00697383724948338,-0.000858981397061764,0.116502095960523,-2.14984601506077
22,2,1,"5:05",3,"Male",23,0.00728423397680454,0.00834257322198404,0.00105833924517951,0.118419416602764,-2.13352257839998
24,3,1,"4:20",3,"Male",23,0.00674298404117077,0.00682919319208619,8.62091509154193e-05,0.1174472865085,-2.14176567152
15,4,1,"2:10",3,"Male",23,0.00788506135612793,0.00800347731901556,0.000118415962887624,0.117479493320473,-2.14149148556132
29,7,1,"3:00",3,"Male",25,0.00573306913373097,0.00646017434786835,0.000727105214137374,0.118088182571722,-2.13632362368365
24,8,1,"4:35",3,"Male",22,0.00772888995658864,0.00556115132487743,-0.00216773863171121,0.115193338725874,-2.16114335595232
18,10,1,"2:50",3,"Male",24,0.00688370620600058,0.00819684604215284,0.00131313983615226,0.118674217193737,-2.13137321078528
15,11,1,"2:05",3,"Male",22,0.00900002576055586,0.0117467382865487,0.00274671252599287,0.120107789883578,-2.11936569035451
23,12,1,"5:30",3,"Male",23,0.00628028670635964,0.0085612390507972,0.00228095234443755,0.119642029702022,-2.12325108028554
25,13,1,"1:45",3,"Male",22,0.00506222791795449,0.00509227061070002,3.00426927455216e-05,0.11739112005033,-2.14224401286173
24,19,1,"2:50",3,"Female",23,0.0075260137125517,0.0080391982103805,0.000513184497828801,0.117874261855414,-2.13813680014429
26,21,1,"1:55",3,"Female",22,0.00858469538540137,0.00801628661780541,-0.000568408767595958,0.116792668589989,-2.14735497947939
23,22,1,"4:30",3,"Female",26,0.00697481624541772,0.00823999931771006,0.00126518307229234,0.118626260429877,-2.1317773967776
