"","Score","Scorer","Time","Session","Sex","Age","PersBase","PersCut","PersSut"
"54",20,2,0.1875,2,"Male",23,0.00626830778965419,0.00753167476076492,0.0068495099442372
"55",20,2,0.0798611111111111,2,"Male",22,0.00609906837794052,0.00574180914891238,0.00632729416649859
"56",24,2,0.104166666666667,2,"Female",23,0.00696477520775611,0.00767348925744736,0.0063507641866729
"57",21,2,0.229166666666667,2,"Female",22,0.00950609028924422,0.00928989452949413,0.00834706395186241
"58",21,2,0.131944444444444,2,"Female",26,0.00656997883197558,0.0087667711420479,0.00951032747860542
"59",23,2,0.128472222222222,2,"Female",25,0.00900159465723241,0.00747263333089724,0.00713620375009884
"60",25,2,0.104166666666667,2,"Female",22,0.00480078955497905,0.00489328070461873,0.0054140304660829
"61",23,1,0.338194444444444,3,"Male",22,0.00783281864654515,0.00697383724948338,0.00801878792278548
"62",22,1,0.211805555555556,3,"Male",23,0.00728423397680454,0.00834257322198404,0.00755664677448097
"63",24,1,0.180555555555556,3,"Male",23,0.00674298404117077,0.00682919319208619,0.00791955660049745
"64",15,1,0.0902777777777778,3,"Male",23,0.00788506135612793,0.00800347731901556,0.00659515281584119
"65",29,1,0.125,3,"Male",25,0.00573306913373097,0.00646017434786835,0.0219233125059323
"66",24,1,0.190972222222222,3,"Male",22,0.00772888995658864,0.00556115132487743,0.00685743157798886
"67",18,1,0.118055555555556,3,"Male",24,0.00688370620600058,0.00819684604215284,0.00755862357801948
"68",15,1,0.0868055555555556,3,"Male",22,0.00900002576055586,0.0117467382865487,0.0106323430203588
"69",23,1,0.229166666666667,3,"Male",23,0.00628028670635964,0.0085612390507972,0.00862097441816757
"70",25,1,0.0729166666666667,3,"Male",22,0.00506222791795449,0.00509227061070002,0.00467921667987967
"71",24,1,0.118055555555556,3,"Female",23,0.0075260137125517,0.0080391982103805,0.00665643963875876
"72",26,1,0.0798611111111111,3,"Female",22,0.00858469538540137,0.00801628661780541,0.0105415920236716
"73",23,1,0.1875,3,"Female",26,0.00697481624541772,0.00823999931771006,0.00809380675385535
"74",25,1,0.222222222222222,3,"Female",25,0.00697523970671857,0.00802571920193528,0.00850208739959714
"75",27,1,0.1875,3,"Female",22,0.00529856232135774,0.00586251188624239,0.00581115556348258
"76",23,2,0.338194444444444,3,"Male",22,0.00783281864654515,0.00697383724948338,0.00801878792278548
"77",23,2,0.211805555555556,3,"Male",23,0.00728423397680454,0.00834257322198404,0.00755664677448097
"78",26,2,0.180555555555556,3,"Male",23,0.00674298404117077,0.00682919319208619,0.00791955660049745
"79",14,2,0.0902777777777778,3,"Male",23,0.00788506135612793,0.00800347731901556,0.00659515281584119
"80",28,2,0.125,3,"Male",25,0.00573306913373097,0.00646017434786835,0.0219233125059323
"81",25,2,0.190972222222222,3,"Male",22,0.00772888995658864,0.00556115132487743,0.00685743157798886
"82",19,2,0.118055555555556,3,"Male",24,0.00688370620600058,0.00819684604215284,0.00755862357801948
"83",14,2,0.0868055555555556,3,"Male",22,0.00900002576055586,0.0117467382865487,0.0106323430203588
"84",25,2,0.229166666666667,3,"Male",23,0.00628028670635964,0.0085612390507972,0.00862097441816757
"85",23,2,0.0729166666666667,3,"Male",22,0.00506222791795449,0.00509227061070002,0.00467921667987967
"86",26,2,0.118055555555556,3,"Female",23,0.0075260137125517,0.0080391982103805,0.00665643963875876
"87",24,2,0.0798611111111111,3,"Female",22,0.00858469538540137,0.00801628661780541,0.0105415920236716
"88",24,2,0.1875,3,"Female",26,0.00697481624541772,0.00823999931771006,0.00809380675385535
"89",23,2,0.222222222222222,3,"Female",25,0.00697523970671857,0.00802571920193528,0.00850208739959714
"90",22,2,0.1875,3,"Female",22,0.00529856232135774,0.00586251188624239,0.00581115556348258
"91",22,1,0.10625,4,"Male",22,NA,NA,0.00745958510933227
"92",23,1,0.138888888888889,4,"Male",23,0.00647996583216498,0.00654713248972916,0.00578380230353384
"93",24,1,0.15625,4,"Male",23,0.00627218743652554,0.00925930605849471,0.00879820231589308
"94",14,1,0.09375,4,"Male",23,0.00741542667031174,0.00750699153756055,0.00765651420048086
"95",28,1,0.118055555555556,4,"Male",25,0.00902524107173353,0.00682033556325396,0.00852803667736436
